"","Protein_ID","Species","Function","Appearances"
"1047","P0CX31","Yeast","Small ribosomal subunit protein eS24A","280, 334"
"1048","P62847","Human","Small ribosomal subunit protein eS24","280, 334"
"1049","Q8LC83","Arabidopsis","Small ribosomal subunit protein eS24y","280, 334"
"1050","Q9SS17","Arabidopsis","Small ribosomal subunit protein eS24z","280, 334"
"1051","A0A7G2FNG7","Arabidopsis","Cytochrome c oxidase subunit 3","281"
"1052","P00414","Human","Cytochrome c oxidase subunit 3","281"
"1053","P00420","Yeast","Cytochrome c oxidase subunit 3","281"
"1054","P92514","Arabidopsis","Cytochrome c oxidase subunit 3","281"
"1055","P00403","Human","Cytochrome c oxidase subunit 2","282"
"1056","P00410","Yeast","Cytochrome c oxidase subunit 2","282"
"1057","P93285","Arabidopsis","Cytochrome c oxidase subunit 2","282"
"1058","A0A5S9YIQ0","Arabidopsis","Cytochrome b","283"
"1059","P00156","Human","Cytochrome b","283"
"1060","P00163","Yeast","Cytochrome b","283"
"1061","P42792","Arabidopsis","Cytochrome b","283"
"1062","A0A384KI37","Arabidopsis","ATP synthase subunit a","284"
"1063","P00846","Human","ATP synthase subunit a","284"
"1064","P00854","Yeast","ATP synthase subunit a","284"
"1065","P92547","Arabidopsis","ATP synthase subunit a-2","284"
"1066","P93298","Arabidopsis","ATP synthase subunit a-1","284"
"1067","P00395","Human","Cytochrome c oxidase subunit 1","285"
"1068","P00401","Yeast","Cytochrome c oxidase subunit 1","285"
"1069","P60620","Arabidopsis","Cytochrome c oxidase subunit 1","285"
"1071","P87262","Yeast","Large ribosomal subunit protein eL34A","286"
"1080","P40089","Yeast","U6 snRNA-associated Sm-like protein LSm5","288"
"1081","Q9FKB0","Arabidopsis","Sm-like protein LSM5","288"
"1082","Q9Y4Y9","Human","U6 snRNA-associated Sm-like protein LSm5","288"
"1083","P40099","Yeast","5-formyltetrahydrofolate cyclo-ligase","289"
"1084","P49914","Human","5-formyltetrahydrofolate cyclo-ligase","289"
"1085","Q8L539","Arabidopsis","5-formyltetrahydrofolate cyclo-ligase, mitochondrial","289"
"1086","O48534","Arabidopsis","DExH-box ATP-dependent RNA helicase DExH13","290"
"1087","O75643","Human","U5 small nuclear ribonucleoprotein 200 kDa helicase","290"
"1088","P32639","Yeast","Pre-mRNA-splicing helicase BRR2","290"
"1089","Q9SYP1","Arabidopsis","DExH-box ATP-dependent RNA helicase DExH12","290"
"1090","P24384","Yeast","Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22","291"
"1091","Q14562","Human","ATP-dependent RNA helicase DHX8","291"
"1092","Q38953","Arabidopsis","Probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH5","291"
"1093","O81153","Arabidopsis","Proteasome subunit beta type-3-B","292"
"1094","P25451","Yeast","Proteasome subunit beta type-3","292"
"1095","P49720","Human","Proteasome subunit beta type-3","292"
"1096","Q9XI05","Arabidopsis","Proteasome subunit beta type-3-A","292"
"1097","P39939","Yeast","Small ribosomal subunit protein eS26B","293"
"1098","P49206","Arabidopsis","Small ribosomal subunit protein eS26y","293, 401"
"1099","P62854","Human","Small ribosomal subunit protein eS26","293, 401"
"1100","Q8LPJ7","Arabidopsis","Small ribosomal subunit protein eS26z","293, 401"
"1101","Q9LYK9","Arabidopsis","Small ribosomal subunit protein eS26x","293, 401"
"1103","P29311","Yeast","Protein BMH1","294"
"1112","F4JTV4","Arabidopsis","Adenosylhomocysteinase","295"
"1113","P23526","Human","Adenosylhomocysteinase","295"
"1114","P39954","Yeast","Adenosylhomocysteinase","295"
"1115","Q9LK36","Arabidopsis","Adenosylhomocysteinase 2","295"
"1116","P40086","Yeast","Heme A synthase COX15","296"
"1117","Q7KZN9","Human","Heme A synthase COX15","296"
"1118","Q9FKT8","Arabidopsis","Heme A synthase COX15","296"
"1119","P21524","Yeast","Ribonucleoside-diphosphate reductase large chain 1","297"
"1122","A0A178UYN5","Arabidopsis","(thale cress) hypothetical protein","298"
"1123","F4K455","Arabidopsis","Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein","298"
"1124","P39990","Yeast","13 kDa ribonucleoprotein-associated protein","298"
"1125","P55769","Human","NHP2-like protein 1","298"
"1126","Q9SU26","Arabidopsis","AT4g12600/T1P17_190","298"
"1127","O23714","Arabidopsis","Proteasome subunit beta type-2-A","299"
"1128","O24633","Arabidopsis","Proteasome subunit beta type-2-B","299"
"1129","P22141","Yeast","Proteasome subunit beta type-4","299"
"1130","P49721","Human","Proteasome subunit beta type-2","299"
"1131","A0A654FTH3","Arabidopsis","AFG1-like ATPase family protein","300"
"1132","P32317","Yeast","Protein AFG1","300"
"1133","Q8WV93","Human","AFG1-like ATPase","300"
"1134","P29952","Yeast","Mannose-6-phosphate isomerase","301"
"1135","P34949","Human","Mannose-6-phosphate isomerase","301"
"1136","Q9FZH5","Arabidopsis","Mannose-6-phosphate isomerase 2","301"
"1137","Q9M884","Arabidopsis","Mannose-6-phosphate isomerase 1","301"
"1138","P25453","Yeast","Meiotic recombination protein DMC1","302"
"1139","Q14565","Human","Meiotic recombination protein DMC1/LIM15 homolog","302"
"1140","Q39009","Arabidopsis","Meiotic recombination protein DMC1 homolog","302"
"1141","O23647","Arabidopsis","1,4-alpha-glucan-branching enzyme 2-1, chloroplastic/amyloplastic","303"
"1142","P32775","Yeast","1,4-alpha-glucan-branching enzyme","303"
"1143","Q04446","Human","1,4-alpha-glucan-branching enzyme","303"
"1144","Q9LZS3","Arabidopsis","1,4-alpha-glucan-branching enzyme 2-2, chloroplastic/amyloplastic","303"
"1145","P39525","Yeast","3-oxoacyl-[acyl-carrier-protein] synthase homolog","304"
"1146","Q8L3X9","Arabidopsis","3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial","304"
"1147","Q9NWU1","Human","3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial","304"
"1148","A0A384LBG6","Arabidopsis","BING4 C-terminal domain-containing protein","305"
"1149","O15213","Human","WD repeat-containing protein 46","305"
"1150","P40055","Yeast","U3 small nucleolar RNA-associated protein 7","305"
"1151","P40066","Yeast","mRNA export factor GLE2","306"
"1152","P78406","Human","mRNA export factor RAE1","306"
"1153","Q38942","Arabidopsis","Protein RAE1","306"
"1154","P40037","Yeast","Protein HMF1","307"
"1157","P40010","Yeast","Nuclear GTP-binding protein NUG1","308"
"1158","Q9BVP2","Human","Guanine nucleotide-binding protein-like 3","308"
"1159","Q9M8Z5","Arabidopsis","Guanine nucleotide-binding protein-like NSN1","308"
"1160","P39937","Yeast","Protein PAC2","309"
"1161","Q15813","Human","Tubulin-specific chaperone E","309"
"1162","Q8GRL7","Arabidopsis","Tubulin-folding cofactor E","309"
"1163","P33767","Yeast","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit WBP1","310"
"1164","P39656","Human","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit","310"
"1165","Q944K2","Arabidopsis","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit","310"
"1166","F4KBM7","Arabidopsis","Amino acid transporter AVT6B","311"
"1167","P39981","Yeast","Vacuolar amino acid transporter 2","311"
"1168","Q08AI6","Human","Putative sodium-coupled neutral amino acid transporter 11","311"
"1169","Q0WQJ3","Arabidopsis","Amino acid transporter AVT6D","311"
"1170","Q9LI61","Arabidopsis","Amino acid transporter AVT6A","311"
"1171","Q9LYM2","Arabidopsis","Amino acid transporter AVT6C","311"
"1172","Q9M8L9","Arabidopsis","Amino acid transporter AVT6E","311"
"1173","A0A178WGM6","Arabidopsis","(thale cress) hypothetical protein","312"
"1174","A0A3B3IRV3","Human","Malignant T-cell-amplified sequence 2","312"
"1175","P89886","Yeast","Translation machinery-associated protein 20","312"
"1176","Q9ULC4","Human","Malignant T-cell-amplified sequence 1","312"
"1177","O75354","Human","Ectonucleoside triphosphate diphosphohydrolase 6","313"
"1178","O75356","Human","Nucleoside diphosphate phosphatase ENTPD5","313"
"1179","P32621","Yeast","Guanosine-diphosphatase","313"
"1180","Q9SPM5","Arabidopsis","Apyrase 2","313"
"1181","O23138","Arabidopsis","Cytochrome c-1","314, 540"
"1182","P00045","Yeast","Cytochrome c isoform 2","314"
"1183","P99999","Human","Cytochrome c","314, 540"
"1184","Q9T0G2","Arabidopsis","Cytochrome c-2","314, 540"
"1185","P40035","Yeast","Mitochondrial phosphate carrier protein 2","315"
"1186","Q00325","Human","Solute carrier family 25 member 3","315"
"1187","Q9FMU6","Arabidopsis","Mitochondrial phosphate carrier protein 3, mitochondrial","315"
"1188","Q9M2Z8","Arabidopsis","Mitochondrial phosphate carrier protein 2, mitochondrial","315"
"1189","P06839","Yeast","General transcription and DNA repair factor IIH helicase subunit XPD/RAD3","316"
"1190","P18074","Human","General transcription and DNA repair factor IIH helicase subunit XPD","316"
"1191","Q8W4M7","Arabidopsis","General transcription and DNA repair factor IIH helicase subunit XPD","316"
"1192","F4HZG9","Arabidopsis","Intermediate cleaving peptidase 55, mitochondrial","317, 346"
"1193","P40051","Yeast","Intermediate cleaving peptidase 55","317"
"1194","Q9NQH7","Human","Xaa-Pro aminopeptidase 3","317"
"1195","P40005","Yeast","Prefoldin subunit 2","318"
"1196","Q9LJ98","Arabidopsis","Prefoldin subunit 2","318"
"1197","Q9UHV9","Human","Prefoldin subunit 2","318"
"1198","F4HQ84","Arabidopsis","Conserved oligomeric Golgi complex subunit 3","319"
"1199","P40094","Yeast","Conserved oligomeric Golgi complex subunit 3","319"
"1200","Q96JB2","Human","Conserved oligomeric Golgi complex subunit 3","319"
"1202","P39976","Yeast","D-2-hydroxyglutarate--pyruvate transhydrogenase DLD3","320"
"1204","P39925","Yeast","Mitochondrial inner membrane m-AAA protease component YTA10","321"
"1205","Q84WU8","Arabidopsis","ATP-dependent zinc metalloprotease FTSH 3, mitochondrial","321, 769"
"1206","Q8VZI8","Arabidopsis","ATP-dependent zinc metalloprotease FTSH 10, mitochondrial","321, 769"
"1207","Q9Y4W6","Human","Mitochondrial inner membrane m-AAA protease component AFG3L2","321, 769"
"1208","P33331","Yeast","Nuclear transport factor 2","322"
"1209","P61970","Human","Nuclear transport factor 2","322"
"1210","Q9C7F5","Arabidopsis","Nuclear transport factor 2B","322"
"1211","Q9FZK4","Arabidopsis","Nuclear transport factor 2A","322"
"1212","P32263","Yeast","Pyrroline-5-carboxylate reductase","323"
"1213","P32322","Human","Pyrroline-5-carboxylate reductase 1, mitochondrial","323"
"1214","P54904","Arabidopsis","Pyrroline-5-carboxylate reductase","323"
"1215","Q53H96","Human","Pyrroline-5-carboxylate reductase 3","323"
"1216","Q96C36","Human","Pyrroline-5-carboxylate reductase 2","323"
"1217","O00764","Human","Pyridoxal kinase","324, 880"
"1218","P39988","Yeast","Putative pyridoxal kinase BUD16","324"
"1219","Q8W1X2","Arabidopsis","Pyridoxal kinase","324, 880"
"1220","P38646","Human","Stress-70 protein, mitochondrial","325, 542"
"1221","P39987","Yeast","Heat shock protein SSC3, mitochondrial","325"
"1222","Q8GUM2","Arabidopsis","Heat shock 70 kDa protein 9, mitochondrial","325, 542"
"1223","Q9LDZ0","Arabidopsis","Heat shock 70 kDa protein 10, mitochondrial","325, 542"
"1228","P39986","Yeast","Endoplasmic reticulum transmembrane helix translocase","327"
"1229","Q9HD20","Human","Endoplasmic reticulum transmembrane helix translocase","327"
"1230","Q9LT02","Arabidopsis","Probable manganese-transporting ATPase PDR2","327"
"1231","P0DH92","Arabidopsis","V-type proton ATPase subunit c1","328, 1047"
"1232","P25515","Yeast","V-type proton ATPase subunit c","328"
"1233","P27449","Human","V-type proton ATPase 16 kDa proteolipid subunit c","328, 1047"
"1234","P59228","Arabidopsis","V-type proton ATPase subunit c2","328, 1047"
"1235","P59229","Arabidopsis","V-type proton ATPase subunit c4","328, 1047"
"1236","A0A178W103","Arabidopsis","Haloacid dehalogenase-like hydrolase (HAD) superfamily protein","329"
"1237","P40081","Yeast","Putative magnesium-dependent phosphatase YER134C","329"
"1238","Q86V88","Human","Magnesium-dependent phosphatase 1","329"
"1239","O43242","Human","26S proteasome non-ATPase regulatory subunit 3","330"
"1240","P40016","Yeast","26S proteasome regulatory subunit RPN3","330"
"1241","Q9LNU4","Arabidopsis","26S proteasome non-ATPase regulatory subunit 3 homolog A","330"
"1242","Q9LQR8","Arabidopsis","26S proteasome non-ATPase regulatory subunit 3 homolog B","330"
"1246","P25454","Yeast","DNA repair protein RAD51","332"
"1247","P94102","Arabidopsis","DNA repair protein RAD51 homolog 1","332"
"1248","Q06609","Human","DNA repair protein RAD51 homolog 1","332"
"1249","P13393","Yeast","TATA-box-binding protein","333"
"1250","P28147","Arabidopsis","TATA-box-binding protein 1","333"
"1251","P28148","Arabidopsis","TATA-box-binding protein 2","333"
"1252","P62380","Human","TATA box-binding protein-like 1","333"
"1257","P32610","Yeast","V-type proton ATPase subunit D","335"
"1258","Q9XGM1","Arabidopsis","V-type proton ATPase subunit D","335"
"1259","Q9Y5K8","Human","V-type proton ATPase subunit D","335"
"1260","P40024","Yeast","ABC transporter ATP-binding protein ARB1","336"
"1261","Q9FJH6","Arabidopsis","ABC transporter F family member 1","336"
"1262","Q9UG63","Human","ATP-binding cassette sub-family F member 2","336"
"1263","A0A178UP13","Arabidopsis","Metal-dependent protein hydrolase","337"
"1264","A0A654FE90","Arabidopsis","Metal-dependent protein hydrolase","337"
"1265","P40093","Yeast","MYG1 protein YER156C","337"
"1266","Q9HB07","Human","MYG1 exonuclease","337"
"1267","A0A178URX6","Arabidopsis","Ribosome biogenesis protein NSA2 homolog","338"
"1268","O95478","Human","Ribosome biogenesis protein NSA2 homolog","338"
"1269","P40078","Yeast","Ribosome biogenesis protein NSA2","338"
"1270","O95394","Human","Phosphoacetylglucosamine mutase","339"
"1271","P38628","Yeast","Phosphoacetylglucosamine mutase","339"
"1272","P57750","Arabidopsis","Phosphoacetylglucosamine mutase","339"
"1273","P28263","Yeast","Ubiquitin-conjugating enzyme E2-24 kDa","340"
"1274","P42750","Arabidopsis","Ubiquitin-conjugating enzyme E2 6","340"
"1275","P62256","Human","Ubiquitin-conjugating enzyme E2 H","340"
"1276","O74700","Yeast","Mitochondrial import inner membrane translocase subunit TIM9","341"
"1277","Q9XGX9","Arabidopsis","Mitochondrial import inner membrane translocase subunit TIM9","341"
"1278","Q9Y5J7","Human","Mitochondrial import inner membrane translocase subunit Tim9","341"
"1279","P40029","Yeast","Peptide methionine sulfoxide reductase","342"
"1280","Q9FKF7","Arabidopsis","Peptide methionine sulfoxide reductase A1","342"
"1281","Q9LY14","Arabidopsis","Peptide methionine sulfoxide reductase A3","342"
"1282","Q9LY15","Arabidopsis","Peptide methionine sulfoxide reductase A2","342"
"1283","Q9SL43","Arabidopsis","Peptide methionine sulfoxide reductase A5","342"
"1284","Q9UJ68","Human","Mitochondrial peptide methionine sulfoxide reductase","342"
"1285","A0A178V675","Arabidopsis","Importin N-terminal domain-containing protein","343"
"1286","P40069","Yeast","Importin subunit beta-4","343"
"1287","Q8TEX9","Human","Importin-4","343"
"1288","P39994","Yeast","2-hydroxyacyl-CoA lyase","344"
"1289","Q9LF46","Arabidopsis","2-hydroxyacyl-CoA lyase","344"
"1290","Q9UJ83","Human","2-hydroxyacyl-CoA lyase 1","344"
"1291","P09622","Human","Dihydrolipoyl dehydrogenase, mitochondrial","345"
"1292","P09624","Yeast","Dihydrolipoyl dehydrogenase, mitochondrial","345"
"1293","Q9M5K2","Arabidopsis","Dihydrolipoyl dehydrogenase 2, mitochondrial","345"
"1294","Q9M5K3","Arabidopsis","Dihydrolipoyl dehydrogenase 1, mitochondrial","345"
"1296","P12955","Human","Xaa-Pro dipeptidase","346"
"1297","P43590","Yeast","Uncharacterized peptidase YFR006W","346"
"1298","A0A178VYD8","Arabidopsis","Uncharacterized protein","347"
"1299","P43557","Yeast","Protein FMP32, mitochondrial","347"
"1300","Q9GZT6","Human","Coiled-coil domain-containing protein 90B, mitochondrial","347"
"1301","A0A1P8AND9","Arabidopsis","non-specific serine/threonine protein kinase","348"
"1302","J3KNN3","Human","phosphorylase kinase","348"
"1303","P27466","Yeast","Calcium/calmodulin-dependent protein kinase I","348"
"1304","Q38868","Arabidopsis","Calcium-dependent protein kinase 9","348"
"1305","P43535","Yeast","Protein GCN20","349"
"1306","Q8H0V6","Arabidopsis","ABC transporter F family member 3","349"
"1307","Q9M1H3","Arabidopsis","ABC transporter F family member 4","349"
"1308","Q9NUQ8","Human","ATP-binding cassette sub-family F member 3","349"
"1309","O15305","Human","Phosphomannomutase 2","350"
"1310","O80840","Arabidopsis","Phosphomannomutase","350"
"1311","P07283","Yeast","Phosphomannomutase","350"
"1312","Q92871","Human","Phosphomannomutase 1","350"
"1313","F4JP48","Arabidopsis","DNA mismatch repair protein MSH4","351"
"1314","O15457","Human","MutS protein homolog 4","351"
"1315","P40965","Yeast","MutS protein homolog 4","351"
"1316","P43558","Yeast","Ubiquitin thioesterase OTU1","352"
